nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054833-u93sd8l5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_0001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u93sd8l5
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.0001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_0001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  15.9, train_loss:  1.22, data_points:  5.4e+04, total_data_gen_time:  58, train_time:  0.00273, data_load_time:  4.79e-07, total_eval_time:  6.7, test_score:  660, best_score:  660, current lr:  0.0001, 
Epoch 12. train_acc:  39.4, train_loss:  0.894, data_points:  5.4e+05, total_data_gen_time:  78.5, train_time:  0.00353, data_load_time:  5.94e-07, total_eval_time:  71.3, test_score:  704, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 13. train_acc:  40.2, train_loss:  0.88, data_points:  5.4e+05, total_data_gen_time:  79.1, train_time:  0.00348, data_load_time:  5.9e-07, total_eval_time:  68.7, test_score:  2.3e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 14. train_acc:  40.9, train_loss:  0.867, data_points:  5.4e+05, total_data_gen_time:  79.8, train_time:  0.0036, data_load_time:  6.46e-07, total_eval_time:  40.2, test_score:  1.54e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 15. train_acc:  41.5, train_loss:  0.86, data_points:  5.4e+05, total_data_gen_time:  80.2, train_time:  0.00286, data_load_time:  5.72e-07, total_eval_time:  77.1, test_score:  2.55e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 16. train_acc:  41.8, train_loss:  0.855, data_points:  5.4e+05, total_data_gen_time:  65.3, train_time:  0.0031, data_load_time:  5.18e-07, total_eval_time:  55.8, test_score:  1.89e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 17. train_acc:  42.3, train_loss:  0.845, data_points:  5.4e+05, total_data_gen_time:  59.9, train_time:  0.0031, data_load_time:  5.62e-07, total_eval_time:  79, test_score:  1.94e+03, best_score:  2.66e+03, current lr:  0.0001, 
Epoch 18. train_acc:  42.7, train_loss:  0.835, data_points:  5.4e+05, total_data_gen_time:  60.6, train_time:  0.00305, data_load_time:  5.08e-07, total_eval_time:  31.8, test_score:  3.98e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 19. train_acc:  43.1, train_loss:  0.828, data_points:  5.4e+05, total_data_gen_time:  58.9, train_time:  0.00366, data_load_time:  6.08e-07, total_eval_time:  40.5, test_score:  2.02e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 20. train_acc:  43.2, train_loss:  0.824, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00355, data_load_time:  6.15e-07, total_eval_time:  29.9, test_score:  3.23e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 21. train_acc:  43.5, train_loss:  0.819, data_points:  5.4e+05, total_data_gen_time:  58.4, train_time:  0.00323, data_load_time:  5.75e-07, total_eval_time:  54.2, test_score:  2.09e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 22. train_acc:  43.7, train_loss:  0.813, data_points:  5.4e+05, total_data_gen_time:  60.7, train_time:  0.00308, data_load_time:  5.5e-07, total_eval_time:  136, test_score:  2.04e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 23. train_acc:  43.8, train_loss:  0.811, data_points:  5.4e+05, total_data_gen_time:  60.4, train_time:  0.00295, data_load_time:  5.08e-07, total_eval_time:  29.5, test_score:  2.29e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 24. train_acc:  44, train_loss:  0.805, data_points:  5.4e+05, total_data_gen_time:  59, train_time:  0.00265, data_load_time:  5.14e-07, total_eval_time:  30.5, test_score:  1.82e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 25. train_acc:  44.4, train_loss:  0.794, data_points:  5.4e+05, total_data_gen_time:  72.7, train_time:  0.00305, data_load_time:  5.53e-07, total_eval_time:  46.7, test_score:  3.92e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 26. train_acc:  44.6, train_loss:  0.785, data_points:  5.4e+05, total_data_gen_time:  79.2, train_time:  0.00317, data_load_time:  5.79e-07, total_eval_time:  8.2, test_score:  1.19e+03, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 27. train_acc:  44.9, train_loss:  0.782, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00357, data_load_time:  6.25e-07, total_eval_time:  6.87, test_score:  748, best_score:  3.98e+03, current lr:  0.0001, 
Epoch 28. train_acc:  45.1, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  60.4, train_time:  0.0031, data_load_time:  5.55e-07, total_eval_time:  34.8, test_score:  4.6e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 29. train_acc:  45.2, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  59.5, train_time:  0.00259, data_load_time:  4.72e-07, total_eval_time:  5.38, test_score:  2.16e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 30. train_acc:  45.4, train_loss:  0.777, data_points:  5.4e+05, total_data_gen_time:  63, train_time:  0.00274, data_load_time:  5.32e-07, total_eval_time:  52.8, test_score:  3.58e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 31. train_acc:  45.4, train_loss:  0.782, data_points:  5.4e+05, total_data_gen_time:  75.4, train_time:  0.00302, data_load_time:  5.55e-07, total_eval_time:  106, test_score:  3.16e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 32. train_acc:  45.7, train_loss:  0.776, data_points:  5.4e+05, total_data_gen_time:  79.7, train_time:  0.00365, data_load_time:  5.9e-07, total_eval_time:  9.85, test_score:  4.21e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 33. train_acc:  45.8, train_loss:  0.773, data_points:  5.4e+05, total_data_gen_time:  59.8, train_time:  0.00339, data_load_time:  5.3e-07, total_eval_time:  7.95, test_score:  2.69e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 34. train_acc:  46, train_loss:  0.767, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00262, data_load_time:  5.04e-07, total_eval_time:  107, test_score:  2.44e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 35. train_acc:  46.2, train_loss:  0.768, data_points:  5.4e+05, total_data_gen_time:  59.5, train_time:  0.00269, data_load_time:  5.11e-07, total_eval_time:  32.7, test_score:  3.58e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 36. train_acc:  46.4, train_loss:  0.765, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.0028, data_load_time:  5.1e-07, total_eval_time:  56.4, test_score:  4.37e+03, best_score:  4.6e+03, current lr:  0.0001, 
Epoch 37. train_acc:  46.5, train_loss:  0.763, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00297, data_load_time:  4.75e-07, total_eval_time:  10.2, test_score:  5.82e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 38. train_acc:  46.5, train_loss:  0.764, data_points:  5.4e+05, total_data_gen_time:  59.2, train_time:  0.00314, data_load_time:  5.48e-07, total_eval_time:  9.46, test_score:  3.92e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 39. train_acc:  46.8, train_loss:  0.756, data_points:  5.4e+05, total_data_gen_time:  61.2, train_time:  0.00319, data_load_time:  5.26e-07, total_eval_time:  54.7, test_score:  4.93e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 40. train_acc:  46.9, train_loss:  0.752, data_points:  5.4e+05, total_data_gen_time:  63.9, train_time:  0.00315, data_load_time:  4.86e-07, total_eval_time:  32.8, test_score:  3.52e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 41. train_acc:  47, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00323, data_load_time:  5.68e-07, total_eval_time:  42, test_score:  4.26e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 42. train_acc:  47.1, train_loss:  0.747, data_points:  5.4e+05, total_data_gen_time:  79.9, train_time:  0.00302, data_load_time:  5.79e-07, total_eval_time:  44.2, test_score:  3.49e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 43. train_acc:  47.1, train_loss:  0.75, data_points:  5.4e+05, total_data_gen_time:  80.3, train_time:  0.00315, data_load_time:  5.74e-07, total_eval_time:  32.7, test_score:  4.24e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 44. train_acc:  47.1, train_loss:  0.752, data_points:  5.4e+05, total_data_gen_time:  59.2, train_time:  0.00298, data_load_time:  5.2e-07, total_eval_time:  135, test_score:  3.04e+03, best_score:  5.82e+03, current lr:  0.0001, 
Epoch 45. train_acc:  47.4, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  63.4, train_time:  0.00304, data_load_time:  5.61e-07, total_eval_time:  18.4, test_score:  7.48e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 46. train_acc:  47.4, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  81.1, train_time:  0.00267, data_load_time:  4.69e-07, total_eval_time:  10.2, test_score:  2.76e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 47. train_acc:  47.5, train_loss:  0.742, data_points:  5.4e+05, total_data_gen_time:  71.3, train_time:  0.003, data_load_time:  5.84e-07, total_eval_time:  13.9, test_score:  3.58e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 48. train_acc:  47.7, train_loss:  0.738, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00347, data_load_time:  6.25e-07, total_eval_time:  10.3, test_score:  4.82e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 49. train_acc:  47.6, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  60, train_time:  0.00309, data_load_time:  5.21e-07, total_eval_time:  31.6, test_score:  3.51e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 50. train_acc:  47.7, train_loss:  0.737, data_points:  5.4e+05, total_data_gen_time:  59.5, train_time:  0.00335, data_load_time:  5.77e-07, total_eval_time:  7.36, test_score:  4.23e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 51. train_acc:  47.8, train_loss:  0.738, data_points:  5.4e+05, total_data_gen_time:  60, train_time:  0.00268, data_load_time:  5.02e-07, total_eval_time:  31.8, test_score:  3.05e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 52. train_acc:  47.8, train_loss:  0.732, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00262, data_load_time:  4.66e-07, total_eval_time:  8.87, test_score:  4.4e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 53. train_acc:  48.2, train_loss:  0.723, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00261, data_load_time:  4.92e-07, total_eval_time:  53, test_score:  4.56e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 54. train_acc:  48.2, train_loss:  0.723, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00318, data_load_time:  4.91e-07, total_eval_time:  52.6, test_score:  2.84e+03, best_score:  7.48e+03, current lr:  0.0001, 
Epoch 55. train_acc:  48.2, train_loss:  0.728, data_points:  5.4e+05, total_data_gen_time:  61.5, train_time:  0.00319, data_load_time:  5.7e-07, total_eval_time:  18.5, test_score:  9.24e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 56. train_acc:  48.1, train_loss:  0.727, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00289, data_load_time:  5.24e-07, total_eval_time:  32.6, test_score:  5.09e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 57. train_acc:  48.2, train_loss:  0.724, data_points:  5.4e+05, total_data_gen_time:  59.3, train_time:  0.00313, data_load_time:  5.83e-07, total_eval_time:  11.2, test_score:  5.47e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 58. train_acc:  48.3, train_loss:  0.722, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00345, data_load_time:  6.21e-07, total_eval_time:  32.7, test_score:  4.52e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 59. train_acc:  48.4, train_loss:  0.718, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00314, data_load_time:  5.33e-07, total_eval_time:  76.4, test_score:  3.34e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 60. train_acc:  48.5, train_loss:  0.718, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.00311, data_load_time:  4.91e-07, total_eval_time:  33.6, test_score:  6.3e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 61. train_acc:  48.5, train_loss:  0.718, data_points:  5.4e+05, total_data_gen_time:  62.6, train_time:  0.00313, data_load_time:  5.15e-07, total_eval_time:  10.1, test_score:  5.06e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 62. train_acc:  48.7, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00297, data_load_time:  4.89e-07, total_eval_time:  35.8, test_score:  6.99e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 63. train_acc:  48.5, train_loss:  0.72, data_points:  5.4e+05, total_data_gen_time:  59.8, train_time:  0.00312, data_load_time:  5.22e-07, total_eval_time:  39.9, test_score:  4.51e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 64. train_acc:  48.5, train_loss:  0.718, data_points:  5.4e+05, total_data_gen_time:  79.9, train_time:  0.0031, data_load_time:  5.87e-07, total_eval_time:  12.8, test_score:  8.1e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 65. train_acc:  48.6, train_loss:  0.715, data_points:  5.4e+05, total_data_gen_time:  60.3, train_time:  0.0034, data_load_time:  5.59e-07, total_eval_time:  57.8, test_score:  5.68e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 66. train_acc:  48.7, train_loss:  0.715, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00296, data_load_time:  5.2e-07, total_eval_time:  10.8, test_score:  5.11e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 67. train_acc:  48.8, train_loss:  0.71, data_points:  5.4e+05, total_data_gen_time:  62.1, train_time:  0.00346, data_load_time:  6.07e-07, total_eval_time:  10.2, test_score:  5.88e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 68. train_acc:  48.8, train_loss:  0.712, data_points:  5.4e+05, total_data_gen_time:  58.8, train_time:  0.00315, data_load_time:  5.63e-07, total_eval_time:  57.1, test_score:  5.95e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 69. train_acc:  48.9, train_loss:  0.71, data_points:  5.4e+05, total_data_gen_time:  60.1, train_time:  0.00281, data_load_time:  5.43e-07, total_eval_time:  13.9, test_score:  5.24e+03, best_score:  9.24e+03, current lr:  0.0001, 
Epoch 70. train_acc:  48.9, train_loss:  0.709, data_points:  5.4e+05, total_data_gen_time:  80.8, train_time:  0.00267, data_load_time:  5.16e-07, total_eval_time:  12, test_score:  9.45e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 71. train_acc:  49, train_loss:  0.706, data_points:  5.4e+05, total_data_gen_time:  60.3, train_time:  0.00284, data_load_time:  5.62e-07, total_eval_time:  9.01, test_score:  5.1e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 72. train_acc:  49, train_loss:  0.707, data_points:  5.4e+05, total_data_gen_time:  60.2, train_time:  0.00259, data_load_time:  5.16e-07, total_eval_time:  34.4, test_score:  9.13e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 73. train_acc:  49.1, train_loss:  0.702, data_points:  5.4e+05, total_data_gen_time:  64.2, train_time:  0.00266, data_load_time:  4.98e-07, total_eval_time:  6.85, test_score:  4.34e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 74. train_acc:  49.2, train_loss:  0.702, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00274, data_load_time:  5.06e-07, total_eval_time:  7.96, test_score:  4.75e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 75. train_acc:  49.1, train_loss:  0.705, data_points:  5.4e+05, total_data_gen_time:  59, train_time:  0.00273, data_load_time:  5.25e-07, total_eval_time:  17.1, test_score:  7.26e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 76. train_acc:  49, train_loss:  0.707, data_points:  5.4e+05, total_data_gen_time:  81.1, train_time:  0.00321, data_load_time:  5.56e-07, total_eval_time:  17.6, test_score:  7.34e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 77. train_acc:  49, train_loss:  0.712, data_points:  5.4e+05, total_data_gen_time:  79.8, train_time:  0.00364, data_load_time:  6.54e-07, total_eval_time:  14.5, test_score:  6.07e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 78. train_acc:  49, train_loss:  0.708, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00371, data_load_time:  5.87e-07, total_eval_time:  46.6, test_score:  5.54e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 79. train_acc:  49, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  80.8, train_time:  0.00315, data_load_time:  5.79e-07, total_eval_time:  16.9, test_score:  9.06e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 80. train_acc:  49, train_loss:  0.714, data_points:  5.4e+05, total_data_gen_time:  79.7, train_time:  0.00376, data_load_time:  5.72e-07, total_eval_time:  15.7, test_score:  7.27e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 81. train_acc:  49.1, train_loss:  0.712, data_points:  5.4e+05, total_data_gen_time:  79.9, train_time:  0.00372, data_load_time:  6.04e-07, total_eval_time:  10.8, test_score:  7.25e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 82. train_acc:  49.1, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  63.9, train_time:  0.00269, data_load_time:  5.17e-07, total_eval_time:  10, test_score:  6.82e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 83. train_acc:  49.1, train_loss:  0.71, data_points:  5.4e+05, total_data_gen_time:  62.3, train_time:  0.00274, data_load_time:  4.97e-07, total_eval_time:  81, test_score:  5.03e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 84. train_acc:  49.2, train_loss:  0.711, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00263, data_load_time:  5.17e-07, total_eval_time:  13.4, test_score:  8.31e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 85. train_acc:  49.1, train_loss:  0.708, data_points:  5.4e+05, total_data_gen_time:  71.7, train_time:  0.00303, data_load_time:  5.46e-07, total_eval_time:  45.2, test_score:  6.05e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 86. train_acc:  49.1, train_loss:  0.709, data_points:  5.4e+05, total_data_gen_time:  78.9, train_time:  0.00302, data_load_time:  5.75e-07, total_eval_time:  15.6, test_score:  8.6e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 87. train_acc:  49.2, train_loss:  0.705, data_points:  5.4e+05, total_data_gen_time:  81.3, train_time:  0.0031, data_load_time:  5.44e-07, total_eval_time:  47.2, test_score:  6.81e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 88. train_acc:  49.1, train_loss:  0.709, data_points:  5.4e+05, total_data_gen_time:  80.6, train_time:  0.00295, data_load_time:  5.36e-07, total_eval_time:  38.6, test_score:  7.42e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 89. train_acc:  49.2, train_loss:  0.704, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00314, data_load_time:  5.89e-07, total_eval_time:  82.1, test_score:  4.85e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 90. train_acc:  49.4, train_loss:  0.703, data_points:  5.4e+05, total_data_gen_time:  62.1, train_time:  0.0038, data_load_time:  5.99e-07, total_eval_time:  45.1, test_score:  6.89e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 91. train_acc:  49.3, train_loss:  0.702, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.00377, data_load_time:  6.11e-07, total_eval_time:  13.6, test_score:  6.41e+03, best_score:  9.45e+03, current lr:  0.0001, 
Epoch 92. train_acc:  49.3, train_loss:  0.704, data_points:  5.4e+05, total_data_gen_time:  79.5, train_time:  0.00358, data_load_time:  6.28e-07, total_eval_time:  37, test_score:  1.07e+04, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 93. train_acc:  49.3, train_loss:  0.705, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00275, data_load_time:  5.51e-07, total_eval_time:  10.9, test_score:  6.1e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 94. train_acc:  49.3, train_loss:  0.705, data_points:  5.4e+05, total_data_gen_time:  60.1, train_time:  0.00269, data_load_time:  5.57e-07, total_eval_time:  36.3, test_score:  5.69e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 95. train_acc:  49.3, train_loss:  0.704, data_points:  5.4e+05, total_data_gen_time:  60, train_time:  0.00266, data_load_time:  4.86e-07, total_eval_time:  14.4, test_score:  9.85e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 96. train_acc:  49.4, train_loss:  0.698, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.00267, data_load_time:  4.56e-07, total_eval_time:  108, test_score:  5.13e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 97. train_acc:  49.3, train_loss:  0.702, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.00309, data_load_time:  5.33e-07, total_eval_time:  83.6, test_score:  5.66e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 98. train_acc:  49.4, train_loss:  0.699, data_points:  5.4e+05, total_data_gen_time:  61.9, train_time:  0.00263, data_load_time:  4.57e-07, total_eval_time:  34.8, test_score:  6.64e+03, best_score:  1.07e+04, current lr:  0.0001, 
